Method name: Clare_Fluorescein_calibration_230919 (Modified),,,,,,,,,,
Application: SparkControl,,,,V2.3,,,,,,
Device: Spark,,,,Serial number: 1806012423,,,,,,
Firmware:,,,,LUM:V5.2.3|ABS:V4.3.2|ABS_MEX:V5.0.7|MTP:V13.1.5|FLUOR:V5.1.3|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.0.7|FLUOR_MEX:V5.0.7,,,,,,
,,,,,,,,,,
Date:,,,,2019-12-19,,,,,,
Time:,,,,3:00 PM,,,,,,
System,,,,DESKTOP-0KND16G,,,,,,
User,,,,DESKTOP-0KND16G\Barnes Lab,,,,,,
Plate,,,,[GRE96ft] - Greiner 96 Flat Transparent Cat. No.: 655101/655161/655192,,,,,,
Lid lifter,,,,Removable lid,,,,,,
Humidity Cassette,,,,No humidity cassette,,,,,,
Smooth mode,,,,Not selected,,,,,,
,,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,,
Plate,,,,,,,,,,
,Absorbance,,,,,Abs600,,,,
,Absorbance,,,,,Abs700,,,,
,Fluorescence Top Reading,,,,,Gain 40,,,,
,Fluorescence Top Reading,,,,,Gain 50,,,,
,Fluorescence Top Reading,,,,,Gain 60,,,,
,Fluorescence Top Reading,,,,,Gain 70,,,,
,Fluorescence Top Reading,,,,,Gain 80,,,,
,Fluorescence Top Reading,,,,,Gain 90,,,,
,Fluorescence Top Reading,,,,,Gain 100,,,,
,Fluorescence Top Reading,,,,,Gain 110,,,,
,Fluorescence Top Reading,,,,,Gain 120,,,,
,,,,,,,,,,
H9,0,58330,,,,,,,,
H10,0,57662,,,,,,,,
H11,0,56994,,,,,,,,
H12,0,56327,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End Time,,,,2019-12-19 14:48:15,,,,,,
,,,,,,,,,,
Mode,Fluorescence Top Reading,,,,,,,,,
Name,Gain 50,,,,,,,,,
Excitation,,,,Monochromator,,,,,,
Excitation wavelength,,,,488,nm,,,,,
Excitation bandwidth,,,,20,nm,,,,,
Emission,,,,Monochromator,,,,,,
Emission wavelength,,,,530,nm,,,,,
Emission bandwidth,,,,20,nm,,,,,
Gain,,,,50,Manual,,,,,
Mirror,,,,Automatic (Dichroic 510),,,,,,
Number of flashes,,,,30,,,,,,
Integration time,,,,40,µs,,,,,
Lag time,,,,0,µs,,,,,
Settle time,,,,0,ms,,,,,
Z-Position,,,,20000,µm,,,,,
Z-Position mode,,,,Manual,,,,,,
Part of Plate,,,,A1-H12,,,,,,
,,,,,,,,,,
Start Time,,,,2019-12-19 14:48:34,,,,,,
Temperature,,,,28.7,°C,,,,,
,,,,,,,,,,
<>,Value,Time [ms],,,,,,,,
A1,14961,0,,,,,,,,
A2,7914,778,,,,,,,,
A3,3978,1446,,,,,,,,
A4,2107,2114,,,,,,,,
A5,1063,2782,,,,,,,,
A6,524,3450,,,,,,,,
A7,263,4118,,,,,,,,
A8,133,4786,,,,,,,,
A9,67,5454,,,,,,,,
A10,34,6122,,,,,,,,
A11,17,6790,,,,,,,,
A12,1,7457,,,,,,,,
B1,17143,15487,,,,,,,,
B2,7816,14820,,,,,,,,
B3,4051,14152,,,,,,,,
B4,2046,13484,,,,,,,,
B5,1032,12817,,,,,,,,
B6,509,12149,,,,,,,,
B7,256,11482,,,,,,,,
B8,129,10814,,,,,,,,
B9,66,10146,,,,,,,,
B10,33,9478,,,,,,,,
B11,17,8810,,,,,,,,
B12,1,8142,,,,,,,,
C1,13105,16171,,,,,,,,
C2,7925,16838,,,,,,,,
C3,4206,17505,,,,,,,,
C4,2211,18173,,,,,,,,
C5,1140,18841,,,,,,,,
C6,582,19510,,,,,,,,
C7,302,20178,,,,,,,,
C8,156,20846,,,,,,,,
C9,82,21513,,,,,,,,
C10,43,22181,,,,,,,,
C11,23,22849,,,,,,,,
C12,1,23517,,,,,,,,
D1,14859,31546,,,,,,,,
D2,7786,30879,,,,,,,,
D3,3991,30211,,,,,,,,
D4,1959,29543,,,,,,,,
D5,1041,28874,,,,,,,,
D6,514,28206,,,,,,,,
D7,257,27538,,,,,,,,
D8,131,26871,,,,,,,,
D9,65,26203,,,,,,,,
D10,33,25536,,,,,,,,
D11,17,24868,,,,,,,,
D12,1,24201,,,,,,,,
E1,1,32229,,,,,,,,
E2,1,32896,,,,,,,,
E3,1,33564,,,,,,,,
E4,1,34232,,,,,,,,
E5,1,34900,,,,,,,,
E6,1,35568,,,,,,,,
E7,1,36236,,,,,,,,
E8,1,36904,,,,,,,,
E9,1,37571,,,,,,,,
E10,1,38239,,,,,,,,
E11,1,38907,,,,,,,,
E12,1,39576,,,,,,,,
F1,1,47607,,,,,,,,
F2,1,46939,,,,,,,,
F3,1,46271,,,,,,,,
F4,1,45603,,,,,,,,
F5,1,44935,,,,,,,,
F6,1,44267,,,,,,,,
F7,1,43600,,,,,,,,
F8,1,42932,,,,,,,,
F9,1,42264,,,,,,,,
F10,1,41596,,,,,,,,
F11,1,40928,,,,,,,,
F12,1,40260,,,,,,,,
G1,1,48291,,,,,,,,
G2,1,48958,,,,,,,,
G3,1,49626,,,,,,,,
G4,1,50294,,,,,,,,
G5,1,50962,,,,,,,,
G6,1,51630,,,,,,,,
G7,1,52297,,,,,,,,
G8,1,52965,,,,,,,,
G9,1,53633,,,,,,,,
G10,1,54301,,,,,,,,
G11,1,54969,,,,,,,,
G12,1,55637,,,,,,,,
H1,1,63668,,,,,,,,
H2,1,63000,,,,,,,,
H3,1,62332,,,,,,,,
H4,1,61664,,,,,,,,
H5,1,60996,,,,,,,,
H6,1,60328,,,,,,,,
H7,1,59660,,,,,,,,
H8,1,58991,,,,,,,,
H9,1,58323,,,,,,,,
H10,1,57656,,,,,,,,
H11,1,56988,,,,,,,,
H12,1,56321,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End Time,,,,2019-12-19 14:49:44,,,,,,
,,,,,,,,,,
Mode,Fluorescence Top Reading,,,,,,,,,
Name,Gain 60,,,,,,,,,
Excitation,,,,Monochromator,,,,,,
Excitation wavelength,,,,488,nm,,,,,
Excitation bandwidth,,,,20,nm,,,,,
Emission,,,,Monochromator,,,,,,
Emission wavelength,,,,530,nm,,,,,
Emission bandwidth,,,,20,nm,,,,,
Gain,,,,60,Manual,,,,,
Mirror,,,,Automatic (Dichroic 510),,,,,,
Number of flashes,,,,30,,,,,,
Integration time,,,,40,µs,,,,,
Lag time,,,,0,µs,,,,,
Settle time,,,,0,ms,,,,,
Z-Position,,,,20000,µm,,,,,
Z-Position mode,,,,Manual,,,,,,
Part of Plate,,,,A1-H12,,,,,,
,,,,,,,,,,
Start Time,,,,2019-12-19 14:50:03,,,,,,
Temperature,,,,28.6,°C,,,,,
,,,,,,,,,,
<>,Value,Time [ms],,,,,,,,
A1,54166,0,,,,,,,,
A2,29812,779,,,,,,,,
